player,team,slot,injury,pos_row,depth
Caleb Williams,CHI,QB1,1,QB,1
Tyson Bagent,CHI,QB2,1,QB,2
Case Keenum,CHI,QB3,1,QB,3
Miller Moss,CHI,QB4,1,QB,4
D'Andre Swift,CHI,RB1,1,RB,1
Kyle Monangai,CHI,RB2,1,RB,2
Roschon Johnson,CHI,RB3,0,RB,3
Brittain Brown,CHI,RB4,1,RB,4
Rome Odunze,CHI,WR1,1,WR1,1
Zavion Thomas,CHI,WR4+,1,WR1,2
Maurice Alexander,CHI,WR4+,1,WR1,3
Omari Kelly,CHI,WR4+,1,WR1,4
Luther Burden III,CHI,WR2,1,WR2,1
Jahdae Walker,CHI,WR4+,1,WR2,2
JP Richardson,CHI,WR4+,1,WR2,3
Kyron Hudson,CHI,WR4+,1,WR2,4
Kalif Raymond,CHI,WR3,1,WR3,1
Scotty Miller,CHI,WR4+,1,WR3,2
Kaden Davis,CHI,WR4+,1,WR3,3
Colston Loveland,CHI,TE1,1,TE,1
Cole Kmet,CHI,TE2,1,TE,2
Sam Roush,CHI,TE3,1,TE,3
Nikola Kalinic,CHI,TE4,1,TE,4
Jared Goff,DET,QB1,1,QB,1
Teddy Bridgewater,DET,QB2,1,QB,2
Luke Altmyer,DET,QB3,1,QB,3
Jahmyr Gibbs,DET,RB1,1,RB,1
Isiah Pacheco,DET,RB2,1,RB,2
Sione Vaki,DET,RB3,1,RB,3
Jacob Saylors,DET,RB4,1,RB,4
Amon-Ra St. Brown,DET,WR1,1,WR1,1
Greg Dortch,DET,WR4+,1,WR1,2
Tom Kennedy,DET,WR4+,1,WR1,3
Lucky Jackson,DET,WR4+,1,WR1,4
Jameson Williams,DET,WR2,1,WR2,1
Dominic Lovett,DET,WR4+,1,WR2,2
Malik Cunningham,DET,WR4+,1,WR2,3
Tarik Black,DET,WR4+,1,WR2,4
Isaac TeSlaa,DET,WR3,1,WR3,1
Cedrick Wilson Jr.,DET,WR4+,1,WR3,2
Tay Martin,DET,WR4+,1,WR3,3
Lawrence Keys III,DET,WR4+,1,WR3,4
Sam LaPorta,DET,TE1,0,TE,1
Brock Wright,DET,TE2,1,TE,2
Tyler Conklin,DET,TE3,1,TE,3
Jackson Meeks,DET,TE4,1,TE,4
Jordan Love,GB,QB1,1,QB,1
Tyrod Taylor,GB,QB2,1,QB,2
Kyle McCord,GB,QB3,1,QB,3
Kyron Drones,GB,QB4,1,QB,4
Josh Jacobs,GB,RB1,1,RB,1
Chris Brooks,GB,RB2,1,RB,2
MarShawn Lloyd,GB,RB3,1,RB,3
Pierre Strong Jr.,GB,RB4,1,RB,4
Christian Watson,GB,WR1,1,WR1,1
Savion Williams,GB,WR4+,1,WR1,2
Isaiah Neyor,GB,WR4+,1,WR1,3
J. Michael Sturdivant,GB,WR4+,1,WR1,4
Jayden Reed,GB,WR2,1,WR2,1
Bo Melton,GB,WR4+,1,WR2,2
Will Sheppard,GB,WR4+,1,WR2,3
Matthew Golden,GB,WR3,1,WR3,1
Skyy Moore,GB,WR4+,1,WR3,2
Brenden Rice,GB,WR4+,1,WR3,3
Tucker Kraft,GB,TE1,0,TE,1
Luke Musgrave,GB,TE2,0,TE,2
Josh Whyle,GB,TE3,1,TE,3
Drake Dabney,GB,TE4,1,TE,4
Kyler Murray,MIN,QB1,1,QB,1
J.J. McCarthy,MIN,QB2,1,QB,2
Carson Wentz,MIN,QB3,1,QB,3
Max Brosmer,MIN,QB4,1,QB,4
Aaron Jones Sr.,MIN,RB1,1,RB,1
Jordan Mason,MIN,RB2,1,RB,2
Demond Claiborne,MIN,RB3,1,RB,3
Zavier Scott,MIN,RB4,1,RB,4
Justin Jefferson,MIN,WR1,1,WR1,1
Tai Felton,MIN,WR4+,1,WR1,2
Jeshaun Jones,MIN,WR4+,1,WR1,3
Luke Wysong,MIN,WR4+,1,WR1,4
